Date/Time,Year,Month,Day,Time,Temp (C),Dew Point Temp (C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Hmdx,Wind Chill,Weather,filename
2016-06-05 07:00,2016,6,5,07:00,18.9,15.6,81.0,30.0,22.0,48.3,101.31,,,Mainly Clear,katkam-20160605070000.jpg
2016-06-05 10:00,2016,6,5,10:00,21.2,15.8,71.0,30.0,27.0,48.3,101.28,26.0,,Mostly Cloudy,katkam-20160605100000.jpg
2016-06-05 13:00,2016,6,5,13:00,24.0,15.9,60.0,29.0,22.0,40.2,101.2,29.0,,Mostly Cloudy,katkam-20160605130000.jpg
2016-06-05 16:00,2016,6,5,16:00,23.7,15.6,60.0,29.0,12.0,48.3,101.04,28.0,,Mostly Cloudy,katkam-20160605160000.jpg
2016-06-05 19:00,2016,6,5,19:00,22.0,15.7,67.0,20.0,7.0,48.3,100.96,26.0,,Mostly Cloudy,katkam-20160605190000.jpg
2016-06-06 07:00,2016,6,6,07:00,19.4,15.7,79.0,30.0,13.0,48.3,101.27,,,Mostly Cloudy,katkam-20160606070000.jpg
2016-06-06 10:00,2016,6,6,10:00,20.7,14.9,69.0,29.0,25.0,48.3,101.28,25.0,,Mostly Cloudy,katkam-20160606100000.jpg
2016-06-06 13:00,2016,6,6,13:00,22.0,15.2,65.0,26.0,12.0,48.3,101.2,26.0,,Mostly Cloudy,katkam-20160606130000.jpg
2016-06-06 16:00,2016,6,6,16:00,23.9,12.7,49.0,23.0,8.0,48.3,101.03,27.0,,Mainly Clear,katkam-20160606160000.jpg
2016-06-06 19:00,2016,6,6,19:00,19.8,14.5,71.0,25.0,12.0,48.3,100.92,,,Mostly Cloudy,katkam-20160606190000.jpg
2016-06-07 07:00,2016,6,7,07:00,17.1,13.1,77.0,11.0,6.0,48.3,100.98,,,Mainly Clear,katkam-20160607070000.jpg
2016-06-07 10:00,2016,6,7,10:00,19.0,13.9,72.0,24.0,10.0,40.2,100.96,,,Mainly Clear,katkam-20160607100000.jpg
2016-06-07 13:00,2016,6,7,13:00,20.1,14.8,71.0,24.0,11.0,48.3,100.9,,,Mostly Cloudy,katkam-20160607130000.jpg
2016-06-07 16:00,2016,6,7,16:00,21.7,16.1,70.0,23.0,15.0,48.3,100.78,26.0,,Cloudy,katkam-20160607160000.jpg
2016-06-07 19:00,2016,6,7,19:00,20.5,13.3,63.0,16.0,4.0,48.3,100.67,,,Cloudy,katkam-20160607190000.jpg
2016-06-08 07:00,2016,6,8,07:00,15.0,9.8,71.0,13.0,15.0,48.3,100.75,,,Cloudy,katkam-20160608070000.jpg
2016-06-08 10:00,2016,6,8,10:00,16.1,9.8,66.0,12.0,17.0,48.3,100.82,,,Cloudy,katkam-20160608100000.jpg
2016-06-08 12:00,2016,6,8,12:00,17.0,11.8,71.0,10.0,16.0,24.1,100.91,,,Rain Showers,katkam-20160608120000.jpg
2016-06-08 13:00,2016,6,8,13:00,16.0,11.0,72.0,10.0,18.0,32.2,101.0,,,Cloudy,katkam-20160608130000.jpg
2016-06-08 16:00,2016,6,8,16:00,18.0,10.7,62.0,13.0,27.0,48.3,101.11,,,Mostly Cloudy,katkam-20160608160000.jpg
2016-06-08 19:00,2016,6,8,19:00,15.9,9.4,65.0,12.0,22.0,48.3,101.12,,,Mainly Clear,katkam-20160608190000.jpg
2016-06-09 07:00,2016,6,9,07:00,13.4,8.5,72.0,10.0,19.0,48.3,101.33,,,Mostly Cloudy,katkam-20160609070000.jpg
2016-06-09 10:00,2016,6,9,10:00,15.8,7.4,57.0,14.0,18.0,48.3,101.34,,,Mostly Cloudy,katkam-20160609100000.jpg
2016-06-09 13:00,2016,6,9,13:00,18.2,5.9,44.0,16.0,20.0,48.3,101.27,,,Mostly Cloudy,katkam-20160609130000.jpg
2016-06-09 16:00,2016,6,9,16:00,18.1,6.7,47.0,12.0,21.0,48.3,101.17,,,Mostly Cloudy,katkam-20160609160000.jpg
2016-06-09 19:00,2016,6,9,19:00,16.0,7.3,56.0,15.0,14.0,32.2,101.05,,,Mostly Cloudy,katkam-20160609190000.jpg
2016-06-10 07:00,2016,6,10,07:00,12.8,7.7,71.0,16.0,12.0,24.1,101.32,,,Mostly Cloudy,katkam-20160610070000.jpg
2016-06-10 10:00,2016,6,10,10:00,13.3,7.6,68.0,12.0,23.0,32.2,101.47,,,Mostly Cloudy,katkam-20160610100000.jpg
2016-06-10 13:00,2016,6,10,13:00,16.8,6.4,50.0,18.0,7.0,32.2,101.48,,,Mainly Clear,katkam-20160610130000.jpg
2016-06-10 16:00,2016,6,10,16:00,15.9,7.5,57.0,21.0,15.0,32.2,101.52,,,Mostly Cloudy,katkam-20160610160000.jpg
2016-06-10 19:00,2016,6,10,19:00,14.4,7.5,63.0,27.0,9.0,48.3,101.6,,,Mainly Clear,katkam-20160610190000.jpg
2016-06-11 06:00,2016,6,11,06:00,11.3,10.1,92.0,8.0,14.0,12.9,101.92,,,Rain Showers,katkam-20160611060000.jpg
2016-06-11 07:00,2016,6,11,07:00,11.6,10.2,91.0,7.0,17.0,16.1,101.94,,,Rain Showers,katkam-20160611070000.jpg
2016-06-11 10:00,2016,6,11,10:00,13.4,9.7,78.0,23.0,5.0,19.3,102.09,,,Cloudy,katkam-20160611100000.jpg
2016-06-11 13:00,2016,6,11,13:00,15.7,7.8,59.0,36.0,3.0,32.2,102.2,,,Cloudy,katkam-20160611130000.jpg
